fromPlaceName,toPlaceName,date,duration,0-30,30-60,60-120,120+
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Careggine,07-05-2023,117,1,1,1,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,34,1,1,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,34,1,1,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,34,1,1,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,35,1,1,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,35,1,1,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,36,1,1,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-01-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,23,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,23,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,23,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
Camporgiano,Castelnuovo di Garfagnana,10-10-2023,21,1,0,0,0
