,source,target,weight
940,Piazza al Serchio,Borsigliana,14
943,Piazza al Serchio,Castelvecchio Pascoli,21
945,Piazza al Serchio,Cogna,14
946,Piazza al Serchio,Colognola,24
947,Piazza al Serchio,Cortia,17
949,Piazza al Serchio,Filecchio,2
950,Piazza al Serchio,Fornaci di Barga,21
952,Piazza al Serchio,Gragnana,16
953,Piazza al Serchio,Gragnanella,17
957,Piazza al Serchio,Mologno,21
958,Piazza al Serchio,Monterotondo,8
959,Piazza al Serchio,Nicciano,17
961,Piazza al Serchio,Petrognano,21
962,Piazza al Serchio,Petrognola,8
963,Piazza al Serchio,Ponte all'Ania,13
964,Piazza al Serchio,San Donnino,24
965,Piazza al Serchio,San Michele,24
966,Piazza al Serchio,San Pietro in Campo,10
968,Piazza al Serchio,Sant'Anastasio,8
970,Piazza al Serchio,Vergnano,14
1109,San Romano in Garfagnana,Albiano,1
1110,San Romano in Garfagnana,Antisciana,7
1114,San Romano in Garfagnana,Borsigliana,5
1117,San Romano in Garfagnana,Castelvecchio Pascoli,10
1119,San Romano in Garfagnana,Cogna,5
1120,San Romano in Garfagnana,Colle,2
1121,San Romano in Garfagnana,Colognola,10
1122,San Romano in Garfagnana,Cortia,5
1124,San Romano in Garfagnana,Filecchio,7
1125,San Romano in Garfagnana,Fornaci di Barga,15
1127,San Romano in Garfagnana,Gragnana,5
1128,San Romano in Garfagnana,Gragnanella,5
1129,San Romano in Garfagnana,Livignano,13
1130,San Romano in Garfagnana,Loppia,5
1134,San Romano in Garfagnana,Mologno,15
1135,San Romano in Garfagnana,Monterotondo,5
1136,San Romano in Garfagnana,Nicciano,5
1137,San Romano in Garfagnana,Palleroso,2
1139,San Romano in Garfagnana,Petrognano,15
1140,San Romano in Garfagnana,Petrognola,5
1142,San Romano in Garfagnana,Ponte all'Ania,14
1143,San Romano in Garfagnana,San Donnino,15
1144,San Romano in Garfagnana,San Michele,15
1145,San Romano in Garfagnana,San Pietro in Campo,14
1146,San Romano in Garfagnana,Sant'Anastasio,4
1148,San Romano in Garfagnana,Vergnano,5
1150,Sillano Giuncugnano,Albiano,3
1151,Sillano Giuncugnano,Antisciana,5
1154,Sillano Giuncugnano,Borsigliana,14
1157,Sillano Giuncugnano,Castelvecchio Pascoli,12
1158,Sillano Giuncugnano,Cogna,14
1159,Sillano Giuncugnano,Colognola,5
1160,Sillano Giuncugnano,Cortia,1
1162,Sillano Giuncugnano,Filecchio,1
1163,Sillano Giuncugnano,Fornaci di Barga,14
1165,Sillano Giuncugnano,Gragnanella,5
1166,Sillano Giuncugnano,Livignano,12
1169,Sillano Giuncugnano,Mologno,14
1170,Sillano Giuncugnano,Monterotondo,5
1171,Sillano Giuncugnano,Nicciano,1
1173,Sillano Giuncugnano,Petrognano,14
1175,Sillano Giuncugnano,Ponte all'Ania,14
1176,Sillano Giuncugnano,San Donnino,14
1177,Sillano Giuncugnano,San Michele,14
1178,Sillano Giuncugnano,San Pietro in Campo,11
1180,Sillano Giuncugnano,Vergnano,15
1212,Villa Collemandina,Antisciana,10
1215,Villa Collemandina,Borsigliana,5
1218,Villa Collemandina,Castelvecchio Pascoli,12
1220,Villa Collemandina,Cogna,5
1221,Villa Collemandina,Colognola,5
1223,Villa Collemandina,Fornaci di Barga,10
1225,Villa Collemandina,Gragnana,5
1226,Villa Collemandina,Gragnanella,5
1227,Villa Collemandina,Loppia,1
1230,Villa Collemandina,Mologno,10
1231,Villa Collemandina,Petrognano,6
1233,Villa Collemandina,Ponte all'Ania,10
1234,Villa Collemandina,San Donnino,10
1235,Villa Collemandina,San Michele,10
1236,Villa Collemandina,San Pietro in Campo,5
1238,Villa Collemandina,Vergnano,13
