source,target,date,fromLat,fromLon,toLat,toLon,weight
Borgo a Mozzano,Bagni di Lucca,07-05-2023,43.98057185,10.54311025,44.0089207,10.5743811,20
Borgo a Mozzano,Bagni di Lucca,07-09-2023,43.98057185,10.54311025,44.0089207,10.5743811,20
Borgo a Mozzano,Bagni di Lucca,10-01-2023,43.98057185,10.54311025,44.0089207,10.5743811,21
Borgo a Mozzano,Bagni di Lucca,10-10-2023,43.98057185,10.54311025,44.0089207,10.5743811,22
Borgo a Mozzano,Barga,07-05-2023,43.98057185,10.54311025,44.07326495,10.4775162,24
Borgo a Mozzano,Barga,07-09-2023,43.98057185,10.54311025,44.07326495,10.4775162,24
Borgo a Mozzano,Barga,10-10-2023,43.98057185,10.54311025,44.07326495,10.4775162,20
Borgo a Mozzano,Camporgiano,10-01-2023,43.98057185,10.54311025,44.15955695,10.3330076,21
Borgo a Mozzano,Camporgiano,10-10-2023,43.98057185,10.54311025,44.15955695,10.3330076,21
Borgo a Mozzano,Careggine,10-10-2023,43.98057185,10.54311025,44.11944175,10.3256665,13
Borgo a Mozzano,Castelnuovo di Garfagnana,07-05-2023,43.98057185,10.54311025,44.11419535,10.4024762,17
Borgo a Mozzano,Castelnuovo di Garfagnana,07-09-2023,43.98057185,10.54311025,44.11419535,10.4024762,20
Borgo a Mozzano,Castelnuovo di Garfagnana,10-01-2023,43.98057185,10.54311025,44.11419535,10.4024762,21
Borgo a Mozzano,Castelnuovo di Garfagnana,10-10-2023,43.98057185,10.54311025,44.11419535,10.4024762,21
Borgo a Mozzano,Castiglione di Garfagnana,10-10-2023,43.98057185,10.54311025,44.1517665,10.41126715,16
Borgo a Mozzano,Coreglia Antelminelli,10-10-2023,43.98057185,10.54311025,44.0692364,10.5599585,9
Borgo a Mozzano,Fabbriche di Vergemoli,07-05-2023,43.98057185,10.54311025,43.99803285,10.42961115,24
Borgo a Mozzano,Fabbriche di Vergemoli,07-09-2023,43.98057185,10.54311025,43.99803285,10.42961115,24
Borgo a Mozzano,Fabbriche di Vergemoli,10-10-2023,43.98057185,10.54311025,43.99803285,10.42961115,16
Borgo a Mozzano,Fosciandora,07-05-2023,43.98057185,10.54311025,44.11533145,10.45835555,10
Borgo a Mozzano,Fosciandora,07-09-2023,43.98057185,10.54311025,44.11533145,10.45835555,18
Borgo a Mozzano,Fosciandora,10-01-2023,43.98057185,10.54311025,44.11533145,10.45835555,20
Borgo a Mozzano,Fosciandora,10-10-2023,43.98057185,10.54311025,44.11533145,10.45835555,21
Borgo a Mozzano,Gallicano,07-05-2023,43.98057185,10.54311025,44.06049345,10.4397426,17
Borgo a Mozzano,Gallicano,07-09-2023,43.98057185,10.54311025,44.06049345,10.4397426,20
Borgo a Mozzano,Gallicano,10-01-2023,43.98057185,10.54311025,44.06049345,10.4397426,21
Borgo a Mozzano,Gallicano,10-10-2023,43.98057185,10.54311025,44.06049345,10.4397426,21
Borgo a Mozzano,Lucca,07-05-2023,43.98057185,10.54311025,43.84281,10.50238,20
Borgo a Mozzano,Lucca,07-09-2023,43.98057185,10.54311025,43.84281,10.50238,19
Borgo a Mozzano,Lucca,10-01-2023,43.98057185,10.54311025,43.84281,10.50238,19
Borgo a Mozzano,Lucca,10-10-2023,43.98057185,10.54311025,43.84281,10.50238,20
Borgo a Mozzano,Minucciano,10-10-2023,43.98057185,10.54311025,44.1696951,10.20750045,16
Borgo a Mozzano,Molazzana,10-01-2023,43.98057185,10.54311025,44.07211555,10.4178267,17
Borgo a Mozzano,Molazzana,10-10-2023,43.98057185,10.54311025,44.07211555,10.4178267,21
Borgo a Mozzano,Pescaglia,07-05-2023,43.98057185,10.54311025,43.9649472,10.41305245,24
Borgo a Mozzano,Pescaglia,07-09-2023,43.98057185,10.54311025,43.9649472,10.41305245,24
Borgo a Mozzano,Pescaglia,10-10-2023,43.98057185,10.54311025,43.9649472,10.41305245,16
Borgo a Mozzano,Piazza al Serchio,10-01-2023,43.98057185,10.54311025,44.1846216,10.2940049,21
Borgo a Mozzano,Piazza al Serchio,10-10-2023,43.98057185,10.54311025,44.1846216,10.2940049,21
Borgo a Mozzano,Pieve Fosciana,10-10-2023,43.98057185,10.54311025,44.14504415,10.44694585,12
Borgo a Mozzano,San Romano in Garfagnana,10-01-2023,43.98057185,10.54311025,44.1703812,10.34601445,21
Borgo a Mozzano,San Romano in Garfagnana,10-10-2023,43.98057185,10.54311025,44.1703812,10.34601445,21
