stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@C0287_600","Via Aurelia Nord Fotomarket","43.8868487065138","10.24472139482","2@C0287"
"2@C0288_600","Viale Colombo 78","43.8912537856798","10.2283055361081","2@C0288"
"2@C0296_600","Via Trieste Ang.Fortino","43.8927067948487","10.2346443107628","2@C0296"
"2@C0298_600","Via Trieste 2","43.8964284702297","10.2318686271366","2@C0298"
"2@C0303_600","Via Aurelia Sud Civ.538","43.8437010901099","10.2816238013019","2@C0303"
"2@C0304_600","Via Aurelia Sud Ang.Bozzana Est","43.84722577838","10.2792328979537","2@C0304"
"2@C0305_600","Seggio Di Sotto","44.0541748229243","10.4976278529689","2@C0305"
"2@C0319_600","Piazzale Verdi","43.8429353121797","10.4965861986775","2@C0319"
"2@C0322_600","Luporini 3","43.8401618083892","10.4875160073234","2@C0322"
"2@C0330_600","Via Pisana Ang.Tonelli","43.8413628087856","10.4813539091412","2@C0330"
"2@C0333_600","Luporini 6","43.8401407045356","10.4878091732884","2@C0333"
"2@C0338_600","C. Del Prete 2","43.8482426101529","10.4995619811536","2@C0338"
"2@C0339_600","Carlo Del Prete 4","43.8483384901871","10.5058744277386","2@C0339"
"2@C0340_600","Via Jacopo Quercia","43.8527427295642","10.5133452463807","2@C0340"
"2@C0342_600","Via Ville Ang.Salicchi","43.8559417094007","10.5192461512752","2@C0342"
"2@C0344_600","Magistrali Via Italica 1","43.9023298425851","10.2288990532208","2@C0344"
"2@C0346_600","V. Barsanti E Matteucci","43.8494531442099","10.5047320745592","2@C0346"
"2@C0350_600","Via Ville Ang.Salicchi","43.8560192738742","10.5188297408143","2@C0350"
"2@C0352_600","Bellaria 1","43.8574219771154","10.5203227187903","2@C0352"
"2@C0353_600","Magistrali Via Italica 2","43.9019909091366","10.2285093630195","2@C0353"
"2@C0354_600","Bellaria 2","43.8569635357791","10.5198137324399","2@C0354"
"2@C0368_600","Pelliccia 2","43.8497056451221","10.5173220612934","2@C0368"
"2@C0369_600","Bianchini 1","43.8507235597208","10.5154536380896","2@C0369"
"2@C0378_600","Cadorna 1","43.8424521055237","10.5177118844314","2@C0378"
"2@C0381_600","Piaggia","43.8416001846635","10.528417928857","2@C0381"
"2@C0387_600","Via Ss.Annunziata Pass.Livello","43.8583675550652","10.5240647243641","2@C0387"
"2@C0391_600","Viale Castracani 1","43.8445146828641","10.5177347458935","2@C0391"
"2@C0412_600","Viale Castracani 2","43.8442244605844","10.5169985842133","2@C0412"
"2@C0413_600","Via Aurelia De Sortis 2","43.8651137201349","10.2664958272849","2@C0413"
"2@C0421_600","Via Consani Ang.Norfini","43.8348633547562","10.5087917628203","2@C0421"
"2@C0422_600","Via Consani Ang.Mammini","43.8347094939983","10.5115771299994","2@C0422"
"2@C0424_600","Via Nottolini Civ.1000","43.8339413234752","10.5145133023401","2@C0424"
"2@C0425_600","Via Squaglia Ang.Ingrillini","43.8345151677987","10.5167293551027","2@C0425"
"2@C0426_600","Via Squaglia Ang.Bastia","43.8346116056531","10.5148894074033","2@C0426"
"2@C0427_600","Via Consani Civ.611","43.8349494707304","10.5111323057456","2@C0427"
"2@C0428_600","Via Consani Civ.64","43.8350928429074","10.5084586056484","2@C0428"
"2@C0432_600","Via Camaiore Carrozzeria","43.8895609941418","10.4777022251855","2@C0432"
"2@C0435_600","Guidiccioni","43.8363108240733","10.502780692109","2@C0435"
"2@C0436_600","San Concordio 2","43.8312615812187","10.4989671931426","2@C0436"
"2@C0437_600","San Concordio 1","43.8355903631096","10.49969132707","2@C0437"
"2@C0438_600","San Concordio 3","43.834389373007","10.4991083731625","2@C0438"
"2@C0440_600","San Lazzaro 1","43.8291648509594","10.4967537869309","2@C0440"
"2@C0441_600","San Lazzaro 2","43.8292243504653","10.496569279271","2@C0441"
"2@C0448_600","Via Sorbano V. Ang.Nottolini","43.8299889460589","10.5168743301649","2@C0448"
"2@C0450_600","Via Carignani Civ.43","43.8419014130792","10.4911680914332","2@C0450"
"2@C0451_600","Via Carignani Telecom","43.8418184449622","10.4909852773261","2@C0451"
"2@C0452_600","S. Anna 2","43.8428845132909","10.4918232816741","2@C0452"
"2@C0453_600","S. Anna 1","43.8429814602034","10.4920042095243","2@C0453"
"2@C0454_600","Carducci 1","43.8382475858261","10.499986394833","2@C0454"
"2@C0455_600","Carducci 4","43.8380523638968","10.5002831441631","2@C0455"
"2@C0457_600","Passerella","43.8376242655788","10.5036308674444","2@C0457"
"2@C0459_600","Regina Margherita Fs","43.838491386604","10.5050474201662","2@C0459"
"2@C0460_600","Ricasoli Fs","43.8382391456083","10.5064450501228","2@C0460"
"2@C0463_600","Giusti 3","43.8394064095102","10.5107925267729","2@C0463"
"2@C0464_600","Giusti 4","43.8399913977227","10.51233544685","2@C0464"
"2@C0467_600","Pacini 1","43.8420584067616","10.5154634945141","2@C0467"
"2@C0468_600","Pacini 2","43.8417704308452","10.5151475776874","2@C0468"
"2@C0469_600","Cadorna 2","43.8425574433126","10.5177289015288","2@C0469"
"2@C0470_600","V.Le Marconi Ang.Castracani","43.8441144726204","10.516161566241","2@C0470"
"2@C0471_600","V.Le Marconi Ang.Don A.Mei","43.8444794808822","10.5161205546328","2@C0471"
"2@C0474_600","V.Le Marti Itc","43.8488524628008","10.515099021119","2@C0474"
"2@C0475_600","Viale Marconi Itc","43.8487929960193","10.5155096246255","2@C0475"
"2@C0478_600","Bianchini 2","43.8506925098295","10.5157106380425","2@C0478"
"2@C0479_600","Via Ospedale Ang.Marti","43.8497939623223","10.5150516330448","2@C0479"
"2@C0480_600","Via Ospedale Itc","43.8497359224701","10.515354662568","2@C0480"
