service_id,date,exception_type
"4493_482240","20231125","1"
"4493_482240","20231127","1"
"4493_482240","20231128","1"
"4493_482240","20231129","1"
"4493_482240","20231130","1"
"4493_482240","20231201","1"
"4493_482240","20231202","1"
"4493_482240","20231204","1"
"4493_482240","20231205","1"
"4493_482240","20231206","1"
"4493_482240","20231207","1"
"4493_482240","20231209","1"
"4493_482240","20231211","1"
"4493_482240","20231212","1"
"4493_482240","20231213","1"
"4493_482240","20231214","1"
"4493_482240","20231215","1"
"4493_482240","20231216","1"
"4493_482240","20231218","1"
"4493_482240","20231219","1"
"4493_482240","20231220","1"
"4493_482240","20231221","1"
"4493_482240","20231222","1"
"4493_482240","20231223","1"
"4493_482240","20231227","1"
"4493_482240","20231228","1"
"4493_482240","20231229","1"
"4493_482240","20231230","1"
"4493_482241","20230918","1"
"4493_482241","20230920","1"
"4493_482241","20230925","1"
"4493_482241","20230927","1"
"4493_482241","20231002","1"
"4493_482241","20231004","1"
"4493_482241","20231009","1"
"4493_482241","20231011","1"
"4493_482241","20231016","1"
"4493_482241","20231018","1"
"4493_482241","20231023","1"
"4493_482241","20231025","1"
"4493_482241","20231030","1"
"4493_482241","20231106","1"
"4493_482241","20231108","1"
"4493_482241","20231113","1"
"4493_482241","20231115","1"
"4493_482241","20231120","1"
"4493_482241","20231122","1"
"4493_482241","20231127","1"
"4493_482241","20231129","1"
"4493_482241","20231204","1"
"4493_482241","20231206","1"
"4493_482241","20231211","1"
"4493_482241","20231213","1"
"4493_482241","20231218","1"
"4493_482241","20231220","1"
"4493_482242","20230913","1"
"4493_482242","20231227","1"
"4493_482243","20230915","1"
"4493_482243","20230916","1"
"4493_482243","20230918","1"
"4493_482243","20230919","1"
"4493_482243","20230920","1"
"4493_482243","20230921","1"
"4493_482243","20230922","1"
"4493_482243","20230923","1"
"4493_482243","20230925","1"
"4493_482243","20230926","1"
"4493_482243","20230927","1"
"4493_482243","20230928","1"
"4493_482243","20230929","1"
"4493_482243","20230930","1"
"4493_482243","20231002","1"
"4493_482243","20231003","1"
"4493_482243","20231004","1"
"4493_482243","20231005","1"
"4493_482243","20231006","1"
"4493_482243","20231007","1"
"4493_482243","20231009","1"
"4493_482243","20231010","1"
"4493_482243","20231011","1"
"4493_482243","20231012","1"
"4493_482243","20231013","1"
"4493_482243","20231014","1"
"4493_482243","20231016","1"
"4493_482243","20231017","1"
"4493_482243","20231018","1"
"4493_482243","20231019","1"
"4493_482243","20231020","1"
"4493_482243","20231021","1"
"4493_482243","20231023","1"
"4493_482243","20231024","1"
"4493_482243","20231025","1"
"4493_482243","20231026","1"
"4493_482243","20231027","1"
"4493_482243","20231028","1"
"4493_482243","20231030","1"
"4493_482243","20231031","1"
"4493_482243","20231102","1"
"4493_482243","20231103","1"
"4493_482243","20231104","1"
"4493_482243","20231106","1"
"4493_482243","20231107","1"
"4493_482243","20231108","1"
"4493_482243","20231109","1"
"4493_482243","20231110","1"
"4493_482243","20231111","1"
"4493_482243","20231113","1"
"4493_482243","20231114","1"
"4493_482243","20231115","1"
"4493_482243","20231116","1"
"4493_482243","20231117","1"
"4493_482243","20231118","1"
"4493_482243","20231120","1"
"4493_482243","20231121","1"
"4493_482243","20231122","1"
"4493_482243","20231123","1"
"4493_482243","20231124","1"
"4493_482243","20231125","1"
"4493_482243","20231127","1"
"4493_482243","20231128","1"
"4493_482243","20231129","1"
"4493_482243","20231130","1"
"4493_482243","20231201","1"
"4493_482243","20231202","1"
"4493_482243","20231204","1"
"4493_482243","20231205","1"
"4493_482243","20231206","1"
"4493_482243","20231207","1"
"4493_482243","20231209","1"
"4493_482243","20231211","1"
"4493_482243","20231212","1"
"4493_482243","20231213","1"
"4493_482243","20231214","1"
"4493_482243","20231215","1"
"4493_482243","20231216","1"
"4493_482243","20231218","1"
"4493_482243","20231219","1"
"4493_482243","20231220","1"
"4493_482243","20231221","1"
"4493_482243","20231222","1"
"4493_482243","20231223","1"
"4493_482244","20231101","1"
"4493_482244","20231105","1"
"4493_482245","20230917","1"
"4493_482245","20230924","1"
"4493_482245","20231001","1"
"4493_482245","20231008","1"
"4493_482245","20231015","1"
"4493_482245","20231022","1"
"4493_482245","20231029","1"
"4493_482245","20231112","1"
"4493_482245","20231119","1"
"4493_482245","20231126","1"
"4493_482245","20231203","1"
"4493_482245","20231208","1"
"4493_482245","20231210","1"
"4493_482245","20231217","1"
"4493_482245","20231224","1"
"4493_482245","20231226","1"
"4493_482245","20231231","1"
"4493_482246","20230917","1"
"4493_482246","20230924","1"
"4493_482246","20231001","1"
"4493_482246","20231008","1"
"4493_482246","20231015","1"
"4493_482246","20231022","1"
"4493_482246","20231029","1"
"4493_482246","20231101","1"
"4493_482246","20231105","1"
"4493_482246","20231112","1"
"4493_482246","20231119","1"
"4493_482246","20231126","1"
"4493_482246","20231203","1"
"4493_482246","20231208","1"
"4493_482246","20231210","1"
"4493_482246","20231217","1"
"4493_482246","20231224","1"
"4493_482246","20231226","1"
"4493_482246","20231231","1"
"4493_482247","20231224","1"
"4493_482247","20231226","1"
"4493_482247","20231231","1"
"4493_482248","20230915","1"
"4493_482248","20230916","1"
"4493_482248","20230918","1"
"4493_482248","20230919","1"
"4493_482248","20230920","1"
"4493_482248","20230921","1"
"4493_482248","20230922","1"
"4493_482248","20230923","1"
"4493_482248","20230925","1"
"4493_482248","20230926","1"
"4493_482248","20230927","1"
"4493_482248","20230928","1"
"4493_482248","20230929","1"
"4493_482248","20230930","1"
"4493_482248","20231002","1"
"4493_482248","20231003","1"
"4493_482248","20231004","1"
"4493_482248","20231005","1"
"4493_482248","20231006","1"
"4493_482248","20231007","1"
"4493_482248","20231009","1"
"4493_482248","20231010","1"
"4493_482248","20231011","1"
"4493_482248","20231012","1"
"4493_482248","20231013","1"
"4493_482248","20231014","1"
"4493_482248","20231016","1"
"4493_482248","20231017","1"
"4493_482248","20231018","1"
"4493_482248","20231019","1"
"4493_482248","20231020","1"
